id;titulo;genero;ano;duracao(min)
2280;Four Christmases;Comedy;1927;181
2281;Tales of Vesperia: The First Strike (Teiruzu obu vesuperia: The first strike);Animation;1998;206
2282;Kiss Before Dying, A;Thriller;1914;182
2283;Whistling in Brooklyn;Comedy|Crime|Mystery|Romance;1949;203
2284;Paradise for Three;Comedy|Romance;1980;178
2285;Bridge of Dragons;Action|Romance|Sci-Fi|Thriller;1932;130
2286;100 Years at the Movies;Documentary;1911;172
2287;Time After Time;Sci-Fi|Thriller;2010;96
2288;Road to Singapore;Comedy|Musical;1911;59
2289;Metalstorm: The Destruction of Jared-Syn;Action|Adventure|Sci-Fi;1966;87
2290;Kanak Attack;Drama;2015;93
2291;Rage;Drama;1919;208
2292;Borderland;Crime|Horror|Thriller;1957;103
2293;Paint It Yellow (Rang De Basanti);Action|Comedy|Drama;1903;209
2294;Inn of Evil (Inochi bô ni furô);Crime|Drama;2000;161
2295;Lines: Horizontal;Animation;1972;50
2296;Solyaris;Drama|Sci-Fi;2014;123
2297;Crime Spree;Comedy|Crime;1979;152
2298;Hatchet III;Comedy|Horror;1981;173
2299;Diary of a Country Priest (Journal d'un curé de campagne);Drama;1987;121
2300;Ten, The;Comedy;1958;206
2301;And Soon the Darkness;Mystery|Thriller;1907;127
2302;I Think I Do;Comedy;1963;66
2303;Phantom Lady;Crime|Film-Noir|Mystery;1949;143
2304;Desi Boyz;Comedy|Drama;1900;115
2305;Teenage Mutant Ninja Turtles II: The Secret of the Ooze;Action|Children|Fantasy;1938;144
2306;Going Down in LA-LA Land;Comedy|Drama|Romance;1992;180
2307;Madame Satã;Drama;1944;86
2308;Fire-Eater (Tulennielijä);Drama;2008;181
2309;Man-Proof;Comedy|Drama|Romance;2007;99
2310;Corridor, The;Horror|Thriller;1948;107
2311;Heat;Comedy|Drama|Romance;1935;169
2312;Autism: The Musical;Documentary;2016;103
2313;Song of Ceylon, The;Documentary;1946;180
2314;Stuart Saves His Family;Comedy;1946;197
2315;King and I, The;Animation|Children;1971;139
2316;King of Comedy, The;Comedy|Drama;1944;98
2317;Objective, Burma!;War;1990;173
2318;Patrice O'Neal: Elephant in the Room;Comedy;1998;117
2319;United States of Leland, The;Crime|Drama;1903;50
2320;Villain, The;Comedy|Western;1920;192
2321;6954 Kilometriä Kotiin;Documentary;1901;57
2322;The Pee-Wee Herman Show on Broadway;Comedy;1931;153
2323;Mood Indigo (L'écume des jours);Drama|Fantasy;2005;51
2324;Patriot, The;Action|Thriller;2009;140
2325;Broken English;Drama;1961;101
2326;Beer League;Comedy;1935;183
2327;Dead or Alive: Hanzaisha;Action|Crime;2017;58
2328;HE Who Gets Slapped;Drama|Thriller;1917;191
2329;On the Occasion of Remembering the Turning Gate (Saenghwalui balgyeon);Drama;1992;79
2330;Relax... It's Just Sex;Comedy;1924;156
2331;Close My Eyes;Drama|Romance;2014;82
2332;Postman Blues;Action|Comedy|Crime|Drama;1906;149
2333;Border Incident;Crime|Drama|Film-Noir;1972;51
2334;Veer Zaara;Drama|Musical|Romance;1948;188
2335;Museum Hours;Drama;1956;81
2336;Frenchmen (Le coeur des hommes);Comedy|Romance;1949;152
2337;Story of the Late Chrysanthemums, The (Zangiku monogatari);Drama;1943;132
2338;She Monkeys;Drama;2014;190
2339;Black Venus;Drama;1930;193
2340;Kidnapping of the President, The;Action|Drama|Thriller;2018;94
2341;Macbeth;Drama;1933;181
2342;Earth Days;Documentary;1914;97
2343;Merry Christmas Mr. Lawrence;Drama|War;1982;148
2344;Apple, The (Sib);Drama;2011;205
2345;I Accuse;Drama|Horror|Sci-Fi|War;1982;129
2346;School for Scoundrels;Comedy|Crime;1950;52
2347;Sleepwalking;Drama;1999;66
2348;F for Fake (Vérités et mensonges);Documentary|Mystery;1992;204
2349;Flatfoot on the Nile (Piedone d'Egitto);Action|Comedy|Crime;2018;60
2350;Springfield Rifle;Action|War|Western;1962;128
2351;Century of the Self, The;Documentary;1991;178
2352;Gotcha!;Comedy;1911;115
2353;Abominable;Horror;1940;124
2354;Omen, The;Horror|Thriller;1958;151
2355;From Dad to Son;Animation|Drama;2014;184
2356;Frozen Fever;Adventure|Animation;2011;155
2357;Wrong Move, The (Falsche Bewegung);Drama;1976;53
2358;Shipping News, The;Drama;1955;67
2359;Talhotblond:;Documentary|Thriller;1938;169
2360;Farewell My Concubine (Ba wang bie ji);Drama|Romance;1934;56
2361;Sweetgrass;Adventure|Documentary|Western;2014;78
2362;Lilies of the Field;Drama;2005;151
2363;Camp Rock 2: The Final Jam;Comedy|Musical|Romance;1918;80
2364;Merlusse;Comedy|Drama;1945;137
2365;Lost & Found;Comedy|Romance;1984;112
2366;Ju-on: White Ghost;Horror;1998;103
2367;Critters 3;Comedy|Sci-Fi;1973;185
2368;Ultimate Avengers;Action|Animation|Children|Sci-Fi;1918;108
2369;Alpha and Omega;Adventure|Animation|Children|Comedy|Romance;1941;93
2370;40-Year-Old Virgin, The;Comedy|Romance;2008;48
2371;Legendary Weapons of China;Action|Adventure;1930;104
2372;Rogue Cop;Crime|Drama|Film-Noir;1968;97
2373;Statement, The;Drama|Thriller;1957;139
2374;Children On Their Birthdays;Drama;1924;148
2375;Lions For Lambs;Drama|Thriller|War;1908;129
2376;Think Fast, Mr. Moto;Crime|Drama|Mystery|Thriller;1952;156
2377;Clouds of May (Mayis sikintisi);Drama;1912;82
2378;First Family;Comedy;1941;125
2379;Puff, Puff, Pass;Comedy;1983;156
2380;Wedding, A;Comedy|Drama;1951;152
2381;Bleeding, The;Action|Horror;1902;194
2382;Death to Smoochy;Comedy|Crime|Drama;2013;111
2383;The Hungover Games;Comedy;1975;95
2384;Yella;Drama|Romance|Thriller;2002;204
2385;Ninette;Comedy;2003;94
2386;Darling;Drama;1914;139
2387;Pineapple Express;Action|Comedy|Crime;1926;167
2388;Country Bears, The;Children|Comedy;1925;163
2389;House of Women;Crime|Drama;1989;49
2390;Lasa y Zabala;(no genres listed);2000;56
2391;All About Eve;Drama;1951;175
2392;Time of Peace (Tempos de Paz);Drama;1990;98
2393;Pathfinder (Ofelas);Action|Adventure|Drama;1974;102
2394;Easy Living;Comedy|Romance;1915;128
2395;Con Air;Action|Adventure|Thriller;1981;108
2396;Eraserhead;Drama|Horror;1911;101
2397;Joyride;Drama;1999;105
2398;Unknown;Drama|Mystery|Thriller;1955;74
2399;Bothersome Man, The (Brysomme mannen, Den);Comedy|Drama|Fantasy|Mystery;1974;148
2400;The Legend of Mor'du;Animation|Children;2002;171
2401;Beginners;Drama;1992;119
2402;Print the Legend;Documentary;1968;145
2403;Sophie's Choice;Drama;2006;146
2404;Angel Dog;Children|Drama;1925;140
2405;Inside: 'Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb';Documentary;1904;143
2406;Chappie;Action|Thriller;1917;169
2407;Come Dance with Me!;Crime|Drama|Mystery;1956;207
2408;Transformers: Dark of the Moon;Action|Adventure|Sci-Fi|War|IMAX;1901;149
2409;Loser Takes All, The (O hamenos ta pairnei ola);Action|Adventure|Drama;1979;98
2410;Breaktime, The (Zang-e Tafrih) (Recess);Drama;1999;194
2411;True Love;Comedy;1930;164
2412;Follow Me Quietly;Crime|Drama|Film-Noir|Mystery;1911;110
2413;Trick 'r Treat;Comedy|Horror|Thriller;1942;107
2414;Russia 88;Drama;1918;97
2415;One Nation Under God ;Documentary;2012;83
2416;Pretty Cool;Action|Comedy|Thriller;1926;125
2417;Sanatorium;Thriller;2014;179
2418;Marketa Lazarová;Drama|Romance;1939;166
2419;End of St. Petersburg, The (Konets Sankt-Peterburga);Drama;1922;201
2420;Wrecking Crew, The;Action|Adventure|Comedy|Drama;2015;56
2421;Waiting Game, The;Comedy;1970;140
2422;Living 'til the End;Drama;1969;78
2423;Excuse Me for Living;Comedy|Romance;1932;93
2424;23 (23 - Nichts ist so wie es scheint);Drama|Thriller;1992;162
2425;Dr. Gillespie's New Assistant;Comedy|Drama|Mystery;1917;174
2426;Godzilla Raids Again (Gojira no gyakushû);Action|Drama|Horror|Romance|Sci-Fi;1995;104
2427;Three Times (Zui hao de shi guang);Drama|Romance;2013;129
2428;Endless Summer, The;Documentary;1925;197
2429;Made in U.S.A.;Crime|Mystery;1968;154
2430;Intimate Relations;Comedy;1974;181
2431;Mein Leben - Marcel Reich-Ranicki;Drama;1960;127
2432;Devil's Brigade, The;War;1933;49
2433;She and Her Cat (Kanojo to kanojo no neko);Animation|Drama;1900;145
2434;300 Miles to Heaven (300 Mil do Nieba);Drama;1944;123
2435;Wrong Guys, The;Comedy;1979;147
2436;Bernie;Comedy|Drama;1948;92
2437;Wedding Weekend, The (Sing Now or Forever Hold Your Peace) (Shut Up and Sing);Comedy|Drama;1901;202
2438;Legend of Lobo, The;Adventure|Children;1965;81
2439;Tropic Thunder;Action|Adventure|Comedy|War;1957;144
2440;Footloose;Drama;2005;78
2441;Freshman, The;Comedy;1955;148
2442;Dick;Comedy;1947;175
2443;Night in Old Mexico, A;Drama|Western;1992;160
2444;Son of God;Drama;1986;200
2445;Calling Bulldog Drummond;Crime|Mystery;1966;142
2446;An American Hippie in Israel;Action|Comedy|Sci-Fi;1938;136
2447;Group, The;Drama;2010;60
2448;Special Day, A (Giornata particolare, Una);Drama|War;1908;147
2449;Kevin Smith: Burn in Hell;Comedy;1950;80
2450;Silja - nuorena nukkunut;Drama|Romance;1964;91
2451;Natural Born Killers;Action|Crime|Thriller;1999;166
2452;Lost Thing, The;Animation|Drama|Fantasy;1951;111
2453;Sword of Doom, The (Dai-bosatsu tôge);Action|Drama;1918;170
2454;Run of the Arrow;Western;2012;189
2455;Wishmaster 3: Beyond the Gates of Hell;Fantasy|Horror;1965;192
2456;Tatort: Im Schmerz geboren;Crime;1946;187
2457;Where's Poppa?;Comedy;1910;177
2458;Unmistaken Child;Documentary;1982;81
2459;Taking of Pelham One Two Three, The;Action|Crime;1976;65
2460;Wild Things;Crime|Drama|Mystery|Thriller;1958;198
2461;Where Are the Dreams of Youth? (Seishun no yume imaizuko);Drama;1924;128
2462;Die;Thriller;1975;131
2463;Last of the Mohicans, The;Adventure|Drama;1998;162
2464;The Perils of Pauline;(no genres listed);1933;187
2465;Robot Jox;Sci-Fi;1946;143
2466;Dirty Dancing: Havana Nights;Romance;1998;62
2467;Robot & Frank;Comedy|Drama|Sci-Fi;1917;80
2468;Wild Animals (Yasaeng dongmul bohoguyeog);Crime|Drama;1930;127
2469;Iraq for Sale: The War Profiteers;Documentary;2010;63
2470;Commander Hamilton (Hamilton);Action|Crime;1977;157
2471;Human Touch;Drama;1978;159
2472;Wonderful Ice Cream Suit, The;Children|Comedy|Fantasy;2000;148
2473;Sabotage;Action|Crime|Drama;1909;146
2474;Firm, The;Drama|Thriller;1970;67
2475;Fuhrer Ex (Führer EX);Drama;1962;165
2476;Maryam;Drama;1976;73
2477;Alexander Nevsky (Aleksandr Nevskiy);Action|Drama|War;1985;106
2478;Scorpio Rising;(no genres listed);1976;67
2479;Jay and Silent Bob Strike Back;Adventure|Comedy;1927;175
2480;Bab'Aziz -The Prince Who Contemplated His Soul;Drama;1943;126
2481;White Ribbon, The (Das weiße Band);Drama|Mystery;1918;113
2482;House Party 3;Comedy;1921;49
2483;Confessions of a Window Cleaner;Comedy;1950;184
2484;Sailor Who Fell from Grace with the Sea, The;Drama;1944;175
2485;Passenger, The (Professione: reporter);Drama;2013;205
2486;Assault on Wall Street ;Drama|Thriller;1905;179
2487;Pee-wee's Big Adventure;Adventure|Comedy;1994;203
2488;Old Yeller;Children|Drama;1905;56
2489;Philadelphia Story, The;Comedy|Drama|Romance;1946;113
2490;America the Beautiful ;Documentary;1965;60
2491;My Fake  Fiance;Comedy|Romance;1935;57
2492;César;Comedy|Drama|Romance;1937;165
2493;Rough House, The;Comedy;2009;74
2494;Miracle at Oxford (True Blue);Drama;1995;76
2495;Message to Garcia, A;Drama|Romance;1951;199
2496;IMAX: Coral Reef Adventure;Children|Documentary|IMAX;1927;77
2497;Mondo Hollywood;Documentary;1945;46
2498;Ratatouille;Animation|Children|Drama;1994;106
2499;Seven Sinners;Comedy|Drama|Romance;1954;65
2500;Ladykillers, The;Comedy|Crime;1971;145
2501;A Flintstones Christmas Carol;Animation|Children|Comedy;1987;177
2502;Makai Tensho: Samurai Reincarnation (Makai tenshô);Action|Fantasy|Horror;1974;191
2503;Hear No Evil;Thriller;2007;157
2504;Dead Girl, The;Drama|Mystery|Thriller;1981;73
2505;Ghost World;Comedy|Drama;2015;210
2506;Emperor Jones, The;Drama;2013;158
2507;When the Last Sword is Drawn (Mibu gishi den);Drama;1957;90
2508;Ay, Carmela! (¡Ay, Carmela!);Drama|War;1904;59
2509;Wrong Turn 5: Bloodlines;Horror|Thriller;1902;199
2510;Bordertown;Crime|Drama;1960;114
2511;Star Trek III: The Search for Spock;Action|Adventure|Sci-Fi;1904;197
2512;How Green Was My Valley;Drama|Musical|Romance;1915;145
2513;Object of My Affection, The;Comedy|Romance;1995;137
2514;Boy Meets Boy;Romance;1943;195
2515;Dark Ride;Horror|Thriller;1942;149
2516;George of the Jungle;Children|Comedy;1915;169
2517;Crashing;Drama;1961;204
2518;Baby... Secret of the Lost Legend;Adventure|Sci-Fi;1946;143
2519;Spiritual Kung Fu (Quan jing);Action;1921;90
2520;Blue Valentine;Drama|Romance;1920;105
2521;Great Ziegfeld, The;Drama|Musical;2006;76
2522;Single Girl, A (Fille seule, La);Drama;1962;130
2523;The Count of Monte Cristo;Adventure|Drama|Romance;1969;116
2524;Colour of Magic, The (Terry Pratchett's The Colour of Magic);Adventure|Comedy|Fantasy;1920;121
2525;McCabe & Mrs. Miller;Drama|Western;1993;161
2526;Don't Look Back (Ne te retourne pas);Drama|Horror|Mystery|Thriller;1970;179
2527;Bataan;War;1908;113
2528;Fond Kiss, A (Ae Fond Kiss...);Drama|Romance;2005;76
2529;Another Thin Man;Comedy|Crime|Drama|Mystery|Romance;1961;145
2530;Butcher Boys (Bone Boys);Action|Comedy|Horror|Thriller;1935;188
2531;Don't Go Breaking My Heart (Daan gyun naam yu);Romance;1929;144
2532;Stars Fell on Henrietta, The;Drama;1975;172
2533;Stockholm, Pennsylvania;Drama|Thriller;2004;124
2534;Fire on the Mountain;Documentary;1903;61
2535;Sugar Town;Comedy;2016;55
2536;Bartok the Magnificent;Animation|Children;1988;107
2537;OT: Our Town;Documentary;1942;103
2538;ComDads (les Compères);Comedy|Crime;1947;198
2539;White on Rice;Comedy;1991;142
2540;Breed Apart, A;Action|Drama;1905;89
2541;Sunshine Boys, The;Comedy;1909;60
2542;Ethel;Documentary;2000;152
2543;Stealing a Nation;Documentary;1919;179
2544;Schizopolis;Comedy;1960;153
2545;Hexed;Comedy;1998;180
2546;Scooby-Doo;Adventure|Children|Comedy|Fantasy|Mystery;1951;47
2547;Horde, The (La Horde);Action|Horror|Thriller;1986;114
2548;Stalker;Drama|Mystery|Sci-Fi;1978;168
2549;Hello, Friend;Comedy|Horror;2013;80
2550;After Earth;Action|Adventure|Sci-Fi|IMAX;1932;167
2551;Sudden Fear;Film-Noir|Horror|Thriller;2018;148
2552;Kiss Me Again;Drama|Romance;1941;203
2553;Multiplicity;Comedy;1939;115
2554;Late Quartet, A;Drama;1947;106
2555;Mahjong (Ma jiang);Comedy|Drama;1982;118
2556;Navigators, The;Comedy|Drama;1984;139
2557;My Cousin Rachel;Drama|Mystery|Romance;1999;206
2558;Lara Croft Tomb Raider: The Cradle of Life;Action|Adventure|Comedy|Romance|Thriller;1988;158
2559;Pumpkin Eater, The;Drama;2016;196
2560;The Plague of the Zombies;Horror;1919;99
2561;Lowlands (Tiefland);Drama;1907;151
2562;Thoroughbreds Don't Cry;Comedy|Drama;1918;51
2563;Pendulum;Drama;1947;159
2564;Osmosis (Osmose);Comedy|Drama|Romance;1941;168
2565;Yes Men Fix the World, The;Documentary;1941;72
2566;Casablanca;Drama|Romance;1980;170
2567;Out-of-Towners, The;Comedy;1952;60
2568;Last Laugh, The (Letzte Mann, Der);Drama;1953;157
2569;Hours, The;Drama|Romance;1994;206
2570;Brainstorm;Sci-Fi|Thriller;1944;78
2571;Smash-Up: The Story of a Woman;Drama|Romance;1974;182
2572;Triumph of the Will (Triumph des Willens);Documentary;1984;202
2573;Marley & Me;Comedy|Drama;1938;53
2574;Tattooed Life (Irezumi ichidai);Crime|Drama;1954;202
2575;Fugitives (Fugitivas);Drama|Thriller;1926;64
2576;Westworld;Action|Sci-Fi|Thriller|Western;2009;48
2577;Air Force;Action|Drama|War;2012;47
2578;Hand of Peace: Pope Pius XII and the Holocaust, A;Documentary;1961;88
2579;Day I Became a Woman, The (Roozi khe zan shodam);Drama;1997;172
2580;Dirty Wars;Documentary|War;1985;90
2581;Beauty Day;Documentary;1967;199
2582;Volver;Comedy|Drama;1909;48
2583;Tipping the Velvet;Comedy|Drama|Romance;1950;94
2584;Return of Frank Cannon, The;Action|Crime|Drama|Mystery|Thriller;1909;139
2585;Boys Next Door, The;Crime|Drama;2017;199
2586;Backstage;Drama;1986;116
2587;Rock 'N' Roll High School;Comedy|Musical;1916;144
2588;From Justin to Kelly;Musical|Romance;1994;115
2589;Not on the Lips (Pas sur la bouche);Comedy|Musical|Romance;1938;105
2590;How to Stop Being a Loser;Comedy;1947;79
2591;Mr. Brooks;Crime|Drama|Thriller;1987;134
2592;Fox, The;Drama;1947;72
2593;Fugitive, The;Drama;1954;45
2594;Stan Helsing;Comedy|Horror;1906;134
2595;Switch;Action|Crime|Thriller;1907;185
2596;Slaughterhouse-Five;Comedy|Drama|Sci-Fi|War;1929;95
2597;Happily Ever After (Ils se marièrent et eurent beaucoup d'enfants);Comedy|Drama;1954;131
2598;All the Rage (It's the Rage);Drama;1921;149
2599;Ghosts of Mississippi;Drama;1956;185
2600;Flodder;Comedy;1940;117
2601;Killing Them Softly;Crime|Drama|Thriller;1924;148
2602;Sugar Cane Alley (Rue cases nègres);Drama;1943;93
2603;Bodyguard, The;Drama|Romance|Thriller;1917;93
2604;Othello;Drama;2004;53
2605;My Son (Mon fils à moi);Drama;1992;67
2606;Baby, the Rain Must Fall;Drama;1931;180
2607;Shoulder Arms;Comedy|War;1940;62
2608;Cats;Musical;1948;121
2609;Cat and Dog;Comedy|Crime;1906;190
2610;Love Sick Love;Thriller;1953;69
2611;Meet Bill;Comedy|Drama;1969;53
2612;Speechless;Comedy|Romance;1940;45
2613;Raisin in the Sun, A;Drama;1917;122
2614;Barretts of Wimpole Street, The (a.k.a. Forbidden Alliance);Drama|Romance;1975;121
2615;Wonder Boys;Comedy|Drama;1934;87
2616;Double, The;Comedy|Drama|Thriller;1986;70
2617;Primary;Documentary;1921;149
2618;Fans;Comedy;1909;158
2619;29th Street;Comedy;1991;57
2620;Battle in Heaven (Batalla en el cielo);Comedy|Drama|Romance;1907;90
2621;Rendition;Drama|Thriller;1969;64
2622;Life in Flight ;Drama;1943;76
2623;Shanghai;Drama|Mystery|Romance;2010;150
2624;Defense of the Realm;Thriller;1947;116
2625;Nomads;Horror|Mystery|Thriller;1970;86
2626;Four-Faced Liar, The;Comedy|Drama|Romance;1908;62
2627;Glory to the Filmmaker! (Kantoku · Banzai!);Comedy|Drama;1952;158
2628;The Princess Comes Across;Comedy|Mystery|Romance|Thriller;1919;124
2629;Who's the Man?;Comedy;2015;107
2630;The Private Life of Deer;Documentary;2015;140
2631;Marie Krøyer;Drama;1994;166
2632;Campus Man;Comedy;2011;184
2633;Pain & Gain;Action|Comedy|Crime;1970;202
2634;Loser;Comedy;1944;144
2635;Villain, The (Le Vilain);Comedy;1999;182
2636;Show People;Comedy|Romance;1923;186
2637;Early Spring (Soshun);Drama;2003;133
2638;Late Chrysanthemums (Bangiku);Drama;1995;104
2639;Night Passage;Western;1966;109
2640;Dr. Akagi (Kanzo sensei);Comedy|Drama|War;1982;148
2641;Devil's Nightmare, The (Plus longue nuit du diable, La);Fantasy|Horror;1957;102
2642;Lesser Blessed, The;Drama;1984;115
2643;Goofy Movies Number One;Comedy;2012;181
2644;Northanger Abbey;Drama|Romance;1949;146
2645;Badman's Country;Western;1946;65
2646;High Noon;Drama|Mystery|Romance;1968;73
2647;Boys Are Back, The;Comedy|Drama;2003;122
2648;Skhizein;Animation|Drama;1987;66
2649;Maria, ihm schmeckt's nicht! (Maria, He Doesn't Like It);Comedy;1958;143
2650;Scarecrows;Horror;2015;105
2651;One-Way Ticket to Mombasa (Menolippu Mombasaan);Comedy|Drama;2014;101
2652;Dark Floors;Fantasy|Horror;2013;56
2653;Asterix and the Gauls (Astérix le Gaulois);Action|Adventure|Animation|Children|Comedy;1978;172
2654;Yellow Handkerchief, The;Drama|Romance;1990;133
2655;Brief Vacation, A (breve vacanza, Una);Drama|Romance;1932;96
2656;Dragon Age: Redemption;Action|Adventure|Fantasy;1962;132
2657;Ring Two, The;Drama|Horror|Mystery|Thriller;1915;172
2658;Criminal, The (a.k.a. Concrete Jungle);Crime|Drama;2007;73
2659;First Wives Club, The;Comedy;1979;115
2660;Attack of the 5 Ft. 2 Women (National Lampoon's Attack of the 5 Ft 2 Woman);Comedy;2003;69
2661;Purple Plain, The;Drama|War;1994;49
2662;Just love me (Tylko mnie kochaj);Comedy|Romance;1940;59
2663;Saint, The;Action|Romance|Sci-Fi|Thriller;2006;94
2664;Carpetbaggers, The;Drama;1967;65
2665;Toll of the Sea, The;Drama|Romance;1905;204
2666;Morgen;Drama;1929;187
2667;Belle and Sebastien (Belle et Sébastien);Adventure;1968;114
2668;Blue Like Jazz;Comedy|Drama;2000;104
2669;Private Parts;Horror|Thriller;1906;77
2670;News from a Personal War (Notícias de uma Guerra Particular);Documentary;1902;171
2671;3 Backyards;Drama;1937;138
2672;Remains of the Day, The;Drama|Romance;1924;67
2673;Across 110th Street;Crime;1915;133
2674;Never Too Young to Die;Action|Adventure|Drama;1925;94
2675;The Love Letter;Fantasy|Romance;1917;100
2676;Get Real;Drama|Romance;1934;103
2677;Rio Lobo;Adventure|Romance|War|Western;2001;134
2678;Bloodlust: Subspecies III;Horror;1921;120
2679;Concussion;Drama;1927;108
2680;So Much Water;Comedy|Drama;2006;134
2681;Chillers;Horror;1948;133
2682;E=mc2;Action|Comedy;1984;48
2683;Lord of the Rings: The Fellowship of the Ring, The;Adventure|Fantasy;1943;54
2684;Warm Bodies;Comedy|Horror|Romance;1927;80
2685;Making Love;Drama;1926;184
2686;Kingdom of Shadows;Documentary;1969;191
2687;Underground Comedy Movie, The;Comedy;1928;90
2688;Sixtynine;Drama;1927;125
2689;Twilight of a Woman's Soul (Sumerki zhenskoi dushi);Drama;1977;155
2690;Legend of the Boneknapper Dragon;Animation|Fantasy;1964;48
2691;Torment (Hets);Drama;2017;71
2692;Gloriously Wasted;Comedy;1924;58
2693;Thing, The;Horror|Mystery|Sci-Fi|Thriller;1982;136
2694;Resurrection Man;Drama|Thriller;1973;148
2695;Held Up;Comedy;1946;95
2696;Fifty Dead Men Walking;Action|Drama|Thriller;1941;153
2697;All Superheros Must Die;Thriller;1989;71
2698;Life Stinks;Comedy;1949;102
2699;Confidential Report;Crime|Drama|Mystery|Thriller;1919;147
2700;Exterminating Angel, The (Ángel exterminador, El);Comedy|Drama|Fantasy|Mystery;1923;82
2701;Missing Person, The;Drama|Film-Noir|Mystery;2011;205
2702;High Strung;Comedy;1930;127
2703;How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père);Drama;1982;168
2704;Game Over: Kasparov and the Machine;Documentary;2004;117
2705;Patti Smith: Dream of Life;Documentary;1913;143
2706;Let My Puppets Come;Comedy;1921;146
2707;Bill Bailey: Tinselworm;Comedy|Documentary;1947;114
2708;Magic Man;Crime|Mystery|Thriller;1985;185
2709;Tune in Tomorrow...;Comedy|Romance;1910;113
2710;They Made Me a Criminal (I Became a Criminal) (They Made Me a Fugitive);Crime|Drama;1958;62
2711;For Greater Glory: The True Story of Cristiada;Drama|War;1911;66
2712;Yrrol: An Enormously Well Thought Out Movie (Yrrol - en kolossalt genomtänkt film);Comedy;1926;71
2713;Saints and Soldiers: The Void;Action|Drama|War;1980;87
2714;John Tucker Must Die;Comedy|Romance;1908;80
2715;Clash by Night;Drama|Film-Noir;2011;115
2716;Pokemon: The Movie 2000;Adventure|Animation|Children|Fantasy;2017;168
2717;My Piece of the Pie (Ma part du gâteau);Comedy|Drama;1936;187
2718;Cyborg;Action|Sci-Fi;1985;155
2719;Amigo;Drama|War;1909;140
2720;Tentacles (Tentacoli);Horror|Sci-Fi|Thriller;1970;104
2721;Dracula's Daughter;Drama|Horror;1932;196
2722;Black Cloud;Drama;2009;210
2723;Olympian Holiday (Loma) ;Comedy|Romance;1991;87
2724;Naked Gun 2 1/2: The Smell of Fear, The;Comedy;1990;201
2725;Yamakasi - Les samouraïs des temps modernes;Action|Crime|Drama;1916;206
2726;Page One: Inside the New York Times;Documentary;1940;151
2727;Nature Calls;Comedy;1906;187
2728;Hate (Haine, La);Crime|Drama;1983;123
2729;Ain't Them Bodies Saints;Drama;2014;198
2730;Nobody Will Speak of Us When We're Dead (Nadie hablará de nosotras cuando hayamos muerto);Drama;1956;167
2731;Revisionaries, The;Documentary;2009;175
2732;Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup);Documentary;1983;101
2733;Friday the 13th Part 3: 3D;Horror;1955;95
2734;Bellboy, The;Comedy;1918;157
2735;Hulk Vs.;Animation;1951;178
2736;Shane;Drama|Western;1938;62
2737;String, The (Le fil);Drama;1959;86
2738;Ce que mes yeux ont vu;Drama|Mystery|Thriller;1988;81
2739;Too Late Blues;Drama;1963;202
2740;Carman: The Champion;Action|Drama;1975;107
2741;Blade of the Ripper;Drama|Horror|Mystery|Romance|Thriller;1992;192
2742;S.O.S. Eisberg;Adventure|Drama;1922;74
2743;Homefront;Action|Crime|Thriller;1961;194
2744;Take, The;Crime|Drama;1985;152
2745;Gaby: A True Story;Drama|Romance;1919;65
2746;Empire Records;Comedy|Drama;1922;75
2747;Psycho III;Horror|Thriller;1919;122
2748;Perched on a Tree (Sur un arbre perché);Comedy;1927;112
2749;100 Years of Evil;Adventure|Comedy|Documentary;1965;87
2750;I'm with Lucy;Comedy|Romance;1977;126
2751;The Heavy;Action|Thriller;1925;156
2752;Santa Claus Has Blue Eyes (Le père Noël a les yeux bleus);Drama;1925;67
2753;Terror of Mechagodzilla (Mekagojira no gyakushu);Action|Sci-Fi;1922;93
2754;Entrapment;Crime|Thriller;1989;76
2755;Dark Blue;Action|Crime|Drama|Thriller;1981;85
2756;World Traveler;Drama;1950;203
2757;Angel in Cracow (Aniol w Krakowie);Comedy|Drama;1950;51
2758;I Am a Sex Addict;Comedy|Documentary|Romance;1951;156
2759;Cross of Lorraine, The;Drama|War;1935;204
2760;Outsourced;Comedy|Romance;1904;165
2761;Prisoner of Zenda, The;Adventure|Comedy;1984;160
2762;Housebound;Comedy|Horror|Thriller;1948;175
2763;ATF ;Drama|Thriller;1933;153
2764;Paris, Texas;Drama|Romance;1928;181
2765;4 Horsemen of the Apocalypse, The;Drama;1927;71
2766;Another Day in Paradise;Drama;1919;199
2767;When Willie Comes Marching Home;Comedy|War;1965;186
2768;Mannequin 2: On the Move;Comedy|Fantasy|Romance;1909;47
2769;Kiss of Death;Crime|Drama|Thriller;1979;111
2770;Bolero;Drama|Romance;2000;66
2771;Talk Radio;Drama;1956;161
2772;Winged Creatures (Fragments);Crime|Drama;1926;48
2773;Adventures of Tintin, The;Action|Animation|Mystery|IMAX;1996;94
2774;Stand by for Action;Action|Drama|War;1932;92
2775;After Image (Seeing in the Dark);Drama|Thriller;1977;119
2776;Thunderball;Action|Adventure|Thriller;1967;172
2777;Addams Family Values;Children|Comedy|Fantasy;1917;119
2778;Diary of the Dead;Horror|Sci-Fi;1925;84
2779;Last Stop for Paul;Comedy;2007;98
